ID DECLARATION;TYPE DECLARATION;SOUS TYPE DECLARATION;ADRESSE;CODE POSTAL;VILLE;ARRONDISSEMENT;CONSEIL DE QUARTIER;DATE DECLARATION;ANNEE DECLARATION;MOIS DECLARATION;OUTIL SOURCE;INTERVENANT;ID_DMR;geo_shape;geo_point_2d;mois_annee_decla
68757;Arbres, végétaux et animaux;Présence de rats;4 boulevard de Reims, 75017 PARIS;75017;Paris 17;17;CHAMPERRET - BERTHIER;2022-06-25;2022;6;Page DMR Paris.fr;DASES;S2022F068757;"{""coordinates"": [2.3002129001069975, 48.891950002856575], ""type"": ""Point""}";48.891950002856575,2.3002129001069975;2022-06
48784;Arbres, végétaux et animaux;Herbes éparses;20 passage Duhesme, 75018 PARIS;75018;Paris 18;18;AMIRAUX - SIMPLON - POISSONNIERS;2022-06-18;2022;6;Page DMR Paris.fr;DPE-STPP-DT;S2022F048784;"{""coordinates"": [2.347513706474467, 48.89599600107569], ""type"": ""Point""}";48.89599600107569,2.347513706474467;2022-06
59311;Arbres, végétaux et animaux;Herbes éparses;28 Rue Fizeau, 75015 PARIS;75015;Paris 15;15;GEORGES BRASSENS;2022-06-22;2022;6;Androï;DPE-STPP-DT;G2022F059311;"{""coordinates"": [2.3043517986043884, 48.83010500354282], ""type"": ""Point""}";48.83010500354282,2.3043517986043884;2022-06
46719;Arbres, végétaux et animaux;Herbes éparses;54 Rue Notre Dame de Lorette, 75009 PARIS;75009;Paris 9;9;PIGALLE - MARTYRS;2022-05-18;2022;5;Androï;DPE-STPP-DT;G2022E046719;"{""coordinates"": [2.3360731991097516, 48.879867999239764], ""type"": ""Point""}";48.879867999239764,2.3360731991097516;2022-05
50588;Arbres, végétaux et animaux;Herbes éparses;11 Rue Belliard, 75018 PARIS;75018;Paris 18;18;MOSKOWA - PORTE MONTMARTRE - PORTE DE CLIGNANCOURT;2022-05-19;2022;5;Androï;DPE-STPP-DT;G2022E050588;"{""coordinates"": [2.3508449054701708, 48.898097995924516], ""type"": ""Point""}";48.898097995924516,2.3508449054701708;2022-05
4105;Arbres, végétaux et animaux;Pied d'arbre:Élément de grille d'arbre manquant;89 Avenue de Wagram, 75017 PARIS;75017;Paris 17;17;COURCELLES - WAGRAM;2022-03-02;2022;3;IOPage DMR Paris.fr application;DVD;A2022C004105;"{""coordinates"": [2.300190704270489, 48.88130999588457], ""type"": ""Point""}";48.88130999588457,2.300190704270489;2022-03
64631;Arbres, végétaux et animaux;Pied d'arbre:Élément de grille d'arbre manquant;65bis Rue Nicolo, 75116 PARIS;75016;Paris 16;16;MUETTE NORD;2022-02-28;2022;2;IOPage DMR Paris.fr application;DVD;A2022B064631;"{""coordinates"": [2.276021496488627, 48.860966001719476], ""type"": ""Point""}";48.860966001719476,2.276021496488627;2022-02
63459;Arbres, végétaux et animaux;Pied d'arbre:[] Grille d'arbre impossible à caler;84 Avenue de Wagram, 75017 PARIS;75017;Paris 17;17;COURCELLES - WAGRAM;2022-02-28;2022;2;IOPage DMR Paris.fr application;DVD;A2022B063459;"{""coordinates"": [2.3015293950222873, 48.882365998085355], ""type"": ""Point""}";48.882365998085355,2.3015293950222873;2022-02
60463;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;13bis Rue de Reuilly, 75012 PARIS;75012;Paris 12;12;JARDIN DE REUILLY;2022-02-26;2022;2;IOPage DMR Paris.fr application;DEVE-SAB;A2022B060463;"{""coordinates"": [2.385536395616257, 48.84892999813371], ""type"": ""Point""}";48.84892999813371,2.385536395616257;2022-02
32505;Arbres, végétaux et animaux;Pied d'arbre:Entourage d'arbre en mauvais état;112 Quai Louis Blériot, 75016 PARIS;75016;Paris 16;16;AUTEUIL SUD;2022-05-13;2022;5;Androï;DEVE-SAB;G2022E032505;"{""coordinates"": [2.2710549956574746, 48.84381500096107], ""type"": ""Point""}";48.84381500096107,2.2710549956574746;2022-05
34017;Arbres, végétaux et animaux;Pied d'arbre:Élément de grille d'arbre manquant;26 Avenue Jean Aicard, 75011 PARIS;75011;Paris 11;11;BELLEVILLE - SAINT-MAUR;2022-05-13;2022;5;Androï;DVD;G2022E034017;"{""coordinates"": [2.380573000619192, 48.86642500167016], ""type"": ""Point""}";48.86642500167016,2.380573000619192;2022-05
59618;Arbres, végétaux et animaux;Herbes éparses;26 Rue Ginette Neveu, 75018 PARIS;75018;Paris 18;18;MOSKOWA - PORTE MONTMARTRE - PORTE DE CLIGNANCOURT;2022-05-23;2022;5;Androï;DPE-STPP-DT;G2022E059618;"{""coordinates"": [2.3456700030712856, 48.90042000120193], ""type"": ""Point""}";48.90042000120193,2.3456700030712856;2022-05
18552;Arbres, végétaux et animaux;Arbuste ou jardinière en mauvais état;11 Villa Félix Faure, 75019 PARIS;75019;Paris 19;19;PLACE DES FETES;2022-03-08;2022;3;Androï;;G2022C018552;"{""coordinates"": [2.3956720047445343, 48.87993199799227], ""type"": ""Point""}";48.87993199799227,2.3956720047445343;2022-03
57524;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;51 avenue de Saint-Ouen, 75017 PARIS;75017;Paris 17;17;LA FOURCHE - GUY MOQUET;2022-05-22;2022;5;Androï;DEVE-SAB;G2022E057524;"{""coordinates"": [2.326615000175349, 48.89106799579519], ""type"": ""Point""}";48.89106799579519,2.326615000175349;2022-05
37794;Arbres, végétaux et animaux;Présence de rats;10 rue Erard, 75012 PARIS;75012;Paris 12;12;JARDIN DE REUILLY;2022-03-16;2022;3;Page DMR Paris.fr;DASES;S2022C037794;"{""coordinates"": [2.3843881974264165, 48.84523799550954], ""type"": ""Point""}";48.84523799550954,2.3843881974264165;2022-03
24869;Arbres, végétaux et animaux;Herbes éparses;19 Rue de Tocqueville, 75017 PARIS;75017;Paris 17;17;LEGENDRE - LEVIS;2022-03-11;2022;3;Androï;DPE-STPP-DT;G2022C024869;"{""coordinates"": [2.3124323041648283, 48.8834949996632], ""type"": ""Point""}";48.8834949996632,2.3124323041648283;2022-03
56943;Arbres, végétaux et animaux;Herbes éparses;30 rue des Morillons, 75015 PARIS;75015;Paris 15;15;GEORGES BRASSENS;2022-05-22;2022;5;Page DMR Paris.fr;DPE-STPP-DT;S2022E056943;"{""coordinates"": [2.298156494368773, 48.833610003289515], ""type"": ""Point""}";48.833610003289515,2.298156494368773;2022-05
64324;Arbres, végétaux et animaux;Herbes éparses;5 Rue Francis de Croisset, 75018 PARIS;75018;Paris 18;18;MOSKOWA - PORTE MONTMARTRE - PORTE DE CLIGNANCOURT;2022-05-25;2022;5;Androï;DPE-STPP-DT;G2022E064324;"{""coordinates"": [2.3467129980589974, 48.89932600185882], ""type"": ""Point""}";48.89932600185882,2.3467129980589974;2022-05
43998;Arbres, végétaux et animaux;Herbes éparses;29 Rue Manin, 75019 PARIS;75019;Paris 19;19;SECRETAN;2022-05-17;2022;5;Androï;DPE-STPP-DT;G2022E043998;"{""coordinates"": [2.3780607951157315, 48.87859700340287], ""type"": ""Point""}";48.87859700340287,2.3780607951157315;2022-05
17169;Arbres, végétaux et animaux;Pied d'arbre:Pavage ou trottoir dégradé autour d'un arbre;3513 Quai de Gesvres, 75004 PARIS;75001;Paris 1;4;SAINT - MERRI;2022-05-07;2022;5;IOPage DMR Paris.fr application;DVD;A2022E017169;"{""coordinates"": [2.349494002644116, 48.855972002649374], ""type"": ""Point""}";48.855972002649374,2.349494002644116;2022-05
74725;Arbres, végétaux et animaux;Pied d'arbre:Pavage ou trottoir dégradé autour d'un arbre;199 Rue du Faubourg Saint-Martin, 75010 PARIS;75010;Paris 10;10;LOUIS BLANC - AQUEDUC;2022-05-30;2022;5;IOPage DMR Paris.fr application;DVD;A2022E074725;"{""coordinates"": [2.3636606054801432, 48.87987499995417], ""type"": ""Point""}";48.87987499995417,2.3636606054801432;2022-05
