ID DECLARATION;TYPE DECLARATION;SOUS TYPE DECLARATION;ADRESSE;CODE POSTAL;VILLE;ARRONDISSEMENT;CONSEIL DE QUARTIER;DATE DECLARATION;ANNEE DECLARATION;MOIS DECLARATION;OUTIL SOURCE;INTERVENANT;ID_DMR;geo_shape;geo_point_2d;mois_annee_decla
43802;Arbres, végétaux et animaux;Présence de souris;1 rue de la Croix Moreau, 75018 PARIS;75018;Paris 18;18;CHARLES HERMITE - EVANGILE;2021-11-19;2021;11;Page DMR Paris.fr;DASES;S2021K043802;"{""coordinates"": [2.3633806978031773, 48.89550799485263], ""type"": ""Point""}";48.89550799485263,2.3633806978031773;2021-11
79316;Arbres, végétaux et animaux;Pelouse en mauvais état;1 rue de la Convention, 75015 PARIS;75015;Paris 15;15;EMERIAU - ZOLA;2021-09-26;2021;9;Page DMR Paris.fr;;S2021I079316;"{""coordinates"": [2.2776357995107546, 48.84588999976146], ""type"": ""Point""}";48.84588999976146,2.2776357995107546;2021-09
71395;Arbres, végétaux et animaux;Herbes éparses;4 Rue Henri Turot, 75019 PARIS;75019;Paris 19;19;BAS - BELLEVILLE;2021-09-24;2021;9;IOPage DMR Paris.fr application;DPE-STPP-DT;A2021I071395;"{""coordinates"": [2.3725488003073933, 48.876549995280705], ""type"": ""Point""}";48.876549995280705,2.3725488003073933;2021-09
10251;Arbres, végétaux et animaux;Arbuste ou jardinière en mauvais état;1 Rue Corvetto, 75008 PARIS;75008;Paris 8;8;MONCEAU;2021-12-06;2021;12;Androï;;G2021L010251;"{""coordinates"": [2.3148568021815965, 48.87712500175877], ""type"": ""Point""}";48.87712500175877,2.3148568021815965;2021-12
55206;Arbres, végétaux et animaux;Autres problèmes d'animaux et d'insectes:Présence d'un animal mort;62 Rue Lepic, 75018 PARIS;75018;Paris 18;18;MONTMARTRE;2021-11-24;2021;11;Androï;DPE-STPP-DT;G2021K055206;"{""coordinates"": [2.33397249404784, 48.88695000254558], ""type"": ""Point""}";48.88695000254558,2.33397249404784;2021-11
6413;Arbres, végétaux et animaux;Présence de rats;8 Rue Chénier, 75002 PARIS;75001;Paris 1;2;SENTIER - BONNE NOUVELLE;2021-12-03;2021;12;Androï;DASES;G2021L006413;"{""coordinates"": [2.351535602781607, 48.86935999683608], ""type"": ""Point""}";48.86935999683608,2.351535602781607;2021-12
22836;Arbres, végétaux et animaux;Pied d'arbre:Élément de grille d'arbre manquant;23-17 Avenue Jean Aicard, 75011 PARIS;75011;Paris 11;11;BELLEVILLE - SAINT-MAUR;2021-12-11;2021;12;Androï;DVD;G2021L022836;"{""coordinates"": [2.380373002898554, 48.866226003549905], ""type"": ""Point""}";48.866226003549905,2.380373002898554;2021-12
1950;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;18 boulevard d'Aurelle de Paladines, 75017 PARIS;75017;Paris 17;17;TERNES - MAILLOT;2021-12-01;2021;12;Page DMR Paris.fr;DEVE-SAB;S2021L001950;"{""coordinates"": [2.282214398572868, 48.88355000185122], ""type"": ""Point""}";48.88355000185122,2.282214398572868;2021-12
11626;Arbres, végétaux et animaux;Pied d'arbre:Élément de grille d'arbre manquant;118 Avenue de Flandre, 75019 PARIS;75019;Paris 19;19;FLANDRE - AUBERVILLIERS;2021-12-06;2021;12;Androï;DVD;G2021L011626;"{""coordinates"": [2.3789344036681612, 48.89231999862122], ""type"": ""Point""}";48.89231999862122,2.3789344036681612;2021-12
9347;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;7 Avenue de Villars, 75007 PARIS;75007;Paris 7;7;ECOLE MILITAIRE;2021-12-05;2021;12;Androï;DEVE-SAB;G2021L009347;"{""coordinates"": [2.31341169781321, 48.85278299719341], ""type"": ""Point""}";48.85278299719341,2.31341169781321;2021-12
